Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.267000	0.061519	1000	0.267000	0.267000	0.250854	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.250865	
1000	0.242000	0.061519	1000	0.242000	0.242000	0.250859	
1000	0.288000	0.061519	1000	0.288000	0.288000	0.250886	
1000	0.239000	0.061519	1000	0.239000	0.239000	0.250877	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.250893	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.250898	
1000	0.277000	0.061519	1000	0.277000	0.277000	0.250917	
1000	0.227000	0.061519	1000	0.227000	0.227000	0.250900	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.250899	
1000	0.269000	0.061519	1000	0.269000	0.269000	0.250912	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.250912	
1000	0.252000	0.061519	1000	0.252000	0.252000	0.250912	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.250917	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.250916	
1000	0.244000	0.061519	1000	0.244000	0.244000	0.250911	
1000	0.243000	0.061519	1000	0.243000	0.243000	0.250905	
1000	0.248000	0.061519	1000	0.248000	0.248000	0.250903	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.250919	
1000	0.278000	0.061519	1000	0.278000	0.278000	0.250938	
1000	0.247000	0.061519	1000	0.247000	0.247000	0.250936	
1000	0.247000	0.061519	1000	0.247000	0.247000	0.250933	
1000	0.269000	0.061519	1000	0.269000	0.269000	0.250946	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.250957	
1000	0.247000	0.061519	1000	0.247000	0.247000	0.250954	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.250963	
1000	0.234000	0.061519	1000	0.234000	0.234000	0.250951	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.250955	
1000	0.253000	0.061519	1000	0.253000	0.253000	0.250956	
1000	0.265000	0.061519	1000	0.265000	0.265000	0.250966	
1000	0.259000	0.061519	1000	0.259000	0.259000	0.250972	
1000	0.281000	0.061519	1000	0.281000	0.281000	0.250994	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.251003	
1000	0.276000	0.061519	1000	0.276000	0.276000	0.251022	
1000	0.271000	0.061519	1000	0.271000	0.271000	0.251036	
1000	0.219000	0.061519	1000	0.219000	0.219000	0.251013	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.251021	
1000	0.236000	0.061519	1000	0.236000	0.236000	0.251010	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.251013	
1000	0.274000	0.061519	1000	0.274000	0.274000	0.251029	
1000	0.260000	0.061519	1000	0.260000	0.260000	0.251036	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.251038	
1000	0.276000	0.061519	1000	0.276000	0.276000	0.251056	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.251055	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.251057	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.251065	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.251069	
1000	0.247000	0.061519	1000	0.247000	0.247000	0.251066	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.251070	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.251072	
1000	0.265000	0.061519	1000	0.265000	0.265000	0.251082	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.251091	
1000	0.241000	0.061519	1000	0.241000	0.241000	0.251084	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.251096	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.251098	
1000	0.270000	0.061519	1000	0.270000	0.270000	0.251112	
1000	0.231000	0.061519	1000	0.231000	0.231000	0.251097	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.251112	
1000	0.236000	0.061519	1000	0.236000	0.236000	0.251101	
1000	0.237000	0.061519	1000	0.237000	0.237000	0.251091	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.251096	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.251100	
1000	0.279000	0.061519	1000	0.279000	0.279000	0.251120	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.251123	
1000	0.231000	0.061519	1000	0.231000	0.231000	0.251109	
1000	0.260000	0.061519	1000	0.260000	0.260000	0.251115	
1000	0.267000	0.061519	1000	0.267000	0.267000	0.251126	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.251141	
1000	0.283000	0.061519	1000	0.283000	0.283000	0.251163	
1000	0.247000	0.061519	1000	0.247000	0.247000	0.251160	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.251170	
1000	0.270000	0.061519	1000	0.270000	0.270000	0.251183	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.251190	
1000	0.243000	0.061519	1000	0.243000	0.243000	0.251184	
1000	0.278000	0.061519	1000	0.278000	0.278000	0.251203	
1000	0.276000	0.061519	1000	0.276000	0.276000	0.251220	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.251219	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.251223	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.251225	
