Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.234000	0.118739	1000	0.234000	0.234000	0.253414	
1000	0.238000	0.118739	1000	0.238000	0.238000	0.253401	
1000	0.260000	0.118739	1000	0.260000	0.260000	0.253407	
1000	0.253000	0.118739	1000	0.253000	0.253000	0.253406	
1000	0.263000	0.118739	1000	0.263000	0.263000	0.253414	
1000	0.271000	0.118739	1000	0.271000	0.271000	0.253429	
1000	0.261000	0.118739	1000	0.261000	0.261000	0.253435	
1000	0.217000	0.118739	1000	0.217000	0.217000	0.253405	
1000	0.271000	0.118739	1000	0.271000	0.271000	0.253419	
1000	0.259000	0.118739	1000	0.259000	0.259000	0.253424	
1000	0.230000	0.118739	1000	0.230000	0.230000	0.253405	
1000	0.272000	0.118739	1000	0.272000	0.272000	0.253420	
1000	0.283000	0.118739	1000	0.283000	0.283000	0.253444	
1000	0.267000	0.118739	1000	0.267000	0.267000	0.253455	
1000	0.238000	0.118739	1000	0.238000	0.238000	0.253443	
1000	0.226000	0.118739	1000	0.226000	0.226000	0.253420	
1000	0.250000	0.118739	1000	0.250000	0.250000	0.253417	
1000	0.245000	0.118739	1000	0.245000	0.245000	0.253411	
1000	0.259000	0.118739	1000	0.259000	0.259000	0.253415	
1000	0.235000	0.118739	1000	0.235000	0.235000	0.253400	
1000	0.263000	0.118739	1000	0.263000	0.263000	0.253408	
1000	0.236000	0.118739	1000	0.236000	0.236000	0.253394	
1000	0.251000	0.118739	1000	0.251000	0.251000	0.253392	
1000	0.232000	0.118739	1000	0.232000	0.232000	0.253374	
1000	0.242000	0.118739	1000	0.242000	0.242000	0.253365	
1000	0.253000	0.118739	1000	0.253000	0.253000	0.253365	
1000	0.244000	0.118739	1000	0.244000	0.244000	0.253357	
1000	0.232000	0.118739	1000	0.232000	0.232000	0.253340	
1000	0.251000	0.118739	1000	0.251000	0.251000	0.253338	
1000	0.260000	0.118739	1000	0.260000	0.260000	0.253343	
1000	0.267000	0.118739	1000	0.267000	0.267000	0.253354	
1000	0.245000	0.118739	1000	0.245000	0.245000	0.253348	
1000	0.272000	0.118739	1000	0.272000	0.272000	0.253363	
1000	0.259000	0.118739	1000	0.259000	0.259000	0.253367	
1000	0.249000	0.118739	1000	0.249000	0.249000	0.253364	
