Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.297000	0.109168	1000	0.297000	0.297000	0.308892	
1000	0.308000	0.109168	1000	0.308000	0.308000	0.308891	
1000	0.282000	0.109168	1000	0.282000	0.282000	0.308868	
1000	0.307000	0.109168	1000	0.307000	0.307000	0.308866	
1000	0.285000	0.109168	1000	0.285000	0.285000	0.308846	
1000	0.323000	0.109168	1000	0.323000	0.323000	0.308858	
1000	0.323000	0.109168	1000	0.323000	0.323000	0.308870	
1000	0.328000	0.109168	1000	0.328000	0.328000	0.308887	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308894	
1000	0.293000	0.109168	1000	0.293000	0.293000	0.308881	
1000	0.298000	0.109168	1000	0.298000	0.298000	0.308871	
1000	0.345000	0.109168	1000	0.345000	0.345000	0.308902	
1000	0.291000	0.109168	1000	0.291000	0.291000	0.308887	
1000	0.324000	0.109168	1000	0.324000	0.324000	0.308900	
1000	0.303000	0.109168	1000	0.303000	0.303000	0.308895	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308903	
1000	0.322000	0.109168	1000	0.322000	0.322000	0.308914	
1000	0.302000	0.109168	1000	0.302000	0.302000	0.308908	
1000	0.293000	0.109168	1000	0.293000	0.293000	0.308895	
1000	0.332000	0.109168	1000	0.332000	0.332000	0.308914	
1000	0.322000	0.109168	1000	0.322000	0.322000	0.308925	
1000	0.308000	0.109168	1000	0.308000	0.308000	0.308925	
1000	0.301000	0.109168	1000	0.301000	0.301000	0.308918	
1000	0.289000	0.109168	1000	0.289000	0.289000	0.308901	
1000	0.327000	0.109168	1000	0.327000	0.327000	0.308916	
1000	0.296000	0.109168	1000	0.296000	0.296000	0.308905	
1000	0.317000	0.109168	1000	0.317000	0.317000	0.308912	
1000	0.313000	0.109168	1000	0.313000	0.313000	0.308916	
1000	0.325000	0.109168	1000	0.325000	0.325000	0.308929	
1000	0.328000	0.109168	1000	0.328000	0.328000	0.308946	
1000	0.329000	0.109168	1000	0.329000	0.329000	0.308962	
1000	0.321000	0.109168	1000	0.321000	0.321000	0.308973	
1000	0.323000	0.109168	1000	0.323000	0.323000	0.308985	
1000	0.297000	0.109168	1000	0.297000	0.297000	0.308974	
1000	0.286000	0.109168	1000	0.286000	0.286000	0.308955	
1000	0.306000	0.109168	1000	0.306000	0.306000	0.308953	
1000	0.323000	0.109168	1000	0.323000	0.323000	0.308964	
1000	0.308000	0.109168	1000	0.308000	0.308000	0.308964	
1000	0.317000	0.109168	1000	0.317000	0.317000	0.308970	
1000	0.279000	0.109168	1000	0.279000	0.279000	0.308945	
1000	0.306000	0.109168	1000	0.306000	0.306000	0.308943	
1000	0.294000	0.109168	1000	0.294000	0.294000	0.308930	
1000	0.316000	0.109168	1000	0.316000	0.316000	0.308936	
1000	0.293000	0.109168	1000	0.293000	0.293000	0.308923	
1000	0.320000	0.109168	1000	0.320000	0.320000	0.308932	
1000	0.309000	0.109168	1000	0.309000	0.309000	0.308932	
1000	0.331000	0.109168	1000	0.331000	0.331000	0.308950	
1000	0.315000	0.109168	1000	0.315000	0.315000	0.308956	
1000	0.316000	0.109168	1000	0.316000	0.316000	0.308961	
1000	0.291000	0.109168	1000	0.291000	0.291000	0.308946	
1000	0.317000	0.109168	1000	0.317000	0.317000	0.308953	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308956	
1000	0.302000	0.109168	1000	0.302000	0.302000	0.308950	
1000	0.299000	0.109168	1000	0.299000	0.299000	0.308942	
1000	0.297000	0.109168	1000	0.297000	0.297000	0.308932	
1000	0.288000	0.109168	1000	0.288000	0.288000	0.308914	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308917	
1000	0.329000	0.109168	1000	0.329000	0.329000	0.308934	
1000	0.340000	0.109168	1000	0.340000	0.340000	0.308959	
1000	0.315000	0.109168	1000	0.315000	0.315000	0.308964	
1000	0.314000	0.109168	1000	0.314000	0.314000	0.308968	
1000	0.301000	0.109168	1000	0.301000	0.301000	0.308962	
1000	0.295000	0.109168	1000	0.295000	0.295000	0.308950	
1000	0.278000	0.109168	1000	0.278000	0.278000	0.308925	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308932	
1000	0.327000	0.109168	1000	0.327000	0.327000	0.308947	
1000	0.277000	0.109168	1000	0.277000	0.277000	0.308921	
1000	0.301000	0.109168	1000	0.301000	0.301000	0.308914	
1000	0.296000	0.109168	1000	0.296000	0.296000	0.308904	
1000	0.303000	0.109168	1000	0.303000	0.303000	0.308899	
1000	0.308000	0.109168	1000	0.308000	0.308000	0.308898	
1000	0.341000	0.109168	1000	0.341000	0.341000	0.308924	
1000	0.311000	0.109168	1000	0.311000	0.311000	0.308926	
1000	0.315000	0.109168	1000	0.315000	0.315000	0.308931	
1000	0.298000	0.109168	1000	0.298000	0.298000	0.308922	
1000	0.322000	0.109168	1000	0.322000	0.322000	0.308933	
1000	0.329000	0.109168	1000	0.329000	0.329000	0.308949	
1000	0.315000	0.109168	1000	0.315000	0.315000	0.308954	
1000	0.284000	0.109168	1000	0.284000	0.284000	0.308934	
1000	0.314000	0.109168	1000	0.314000	0.314000	0.308938	
